gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
2154,1,3,19780930,20141204,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BEMIS CO INC,BMS,81437105,11199,2670,322220
10519,1,3,19781231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEXTRON INC,TXT,883203101,217346,3721,336411
10405,1,3,19781231,20150701,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,1018963,3350,331491
7750,1,3,19790331,20160417,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TENET HEALTHCARE CORP,THC,88033G407,70318,8062,622110
11060,1,3,19790630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VF CORP,VFC,918204108,103379,2320,315220
11264,1,3,19791231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,1618921,5912,446110
1487,1,3,19800331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN INTERNATIONAL GROUP,AIG,26874784,5272,6331,524126
4818,1,3,19800331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FLUOR CORP,FLR,343412102,1124198,1600,237990
4598,1,3,19801231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FEDEX CORP,FDX,31428X106,1048911,4513,492110
8253,1,3,19801231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PACCAR INC,PCAR,693718108,75362,3711,336120
1891,1,3,19810331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AUTOMATIC DATA PROCESSING,ADP,53015103,8670,7374,518210
5256,1,3,19810630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GRAINGER (W W) INC,GWW,384802104,277135,5000,42
7085,1,3,19810630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MASCO CORP,MAS,574599106,62996,3430,332913
3336,1,3,19810630,20151130,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DXC TECHNOLOGY COMPANY,DXC,23355L106,1688568,7370,541512
1722,1,3,19810729,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ARCHER-DANIELS-MIDLAND CO,ADM,39483102,7084,2070,31122
7116,1,3,19820331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MATTEL INC,MAT,577081102,63276,3942,339930
11259,1,3,19820831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WALMART INC,WMT,931142103,104169,5331,452990
9778,1,3,19820930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SNAP-ON INC,SNA,833034101,91440,3420,332216
10016,1,3,19820930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,STANLEY BLACK & DECKER INC,SWK,854502101,93556,3540,333991
2435,1,3,19821031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BROWN FORMAN CORP,BF.B,115637209,14693,2085,312140
1690,1,3,19821130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,APPLE INC,AAPL,37833100,320193,3663,334220
8068,1,3,19821231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,OCCIDENTAL PETROLEUM CORP,OXY,674599105,797468,1311,211111
9299,1,3,19821231,20170618,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RYDER SYSTEM INC,R,783549108,85961,7510,532120
3362,1,3,19830831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONAGRA BRANDS INC,CAG,205887102,23217,2000,31142
6733,1,3,19830930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,L BRANDS INC,LB,501797104,701985,5621,448120
2136,1,3,19831130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,VERIZON COMMUNICATIONS INC,VZ,92343V104,732712,4812,517210
9899,1,3,19831130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AT&T INC,T,00206R102,732717,4812,517210
6829,1,3,19840229,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOWE'S COMPANIES INC,LOW,548661107,60667,5211,444110
8823,1,3,19840430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PULTEGROUP INC,PHM,745867101,822416,1531,236117
1380,1,3,19840531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HESS CORP,HES,42809H107,4447,1311,211111
6774,1,3,19840731,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LOCKHEED MARTIN CORP,LMT,539830109,936468,3760,336414
5518,1,3,19840930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HASBRO INC,HAS,418056107,46080,3944,339930
1988,1,3,19841031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BALL CORP,BLL,58498106,9389,3411,332431
9258,1,3,19850131,20140818,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ROWAN COMPANIES PLC,RDC,G7665A101,85408,1381,213111
1209,1,3,19850430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AIR PRODUCTS & CHEMICALS INC,APD,9158106,2969,2810,325120
8030,1,3,19850430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NUCOR CORP,NUE,670346105,73309,3312,331110
4145,1,3,19850531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PERKINELMER INC,PKI,714046109,31791,3826,334516
7985,1,3,19850630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORTHROP GRUMMAN CORP,NOC,666807102,1133421,3812,334511
5742,1,3,19850731,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CENTERPOINT ENERGY INC,CNP,15189T107,1130310,4931,22111
11672,1,3,19850930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TJX COMPANIES INC,TJX,872540109,109198,5651,448140
4058,1,3,19851031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOVER CORP,DOV,260003108,29905,3585,333415
8358,1,3,19851130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PARKER-HANNIFIN CORP,PH,701094104,76334,3490,332912
5878,1,3,19860228,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ILLINOIS TOOL WORKS,ITW,452308109,49826,3560,33399
6268,1,3,19860531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JOHNSON CONTROLS INTL PLC,JCI,G51502105,833444,3585,333415
4990,1,3,19860831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GAP INC,GPS,364760108,39911,5651,448140
7922,1,3,19860831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORDSTROM INC,JWN,655664100,72333,5651,448140
7228,1,3,19861031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEDTRONIC PLC,MDT,G5960L103,1613103,3845,334510
2269,1,3,19861130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BLOCK H & R INC,HRB,93671105,12659,7200,541213
10247,1,3,19861231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SYSCO CORP,SYY,871829107,96021,5140,4244
3310,1,3,19870731,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CA INC,CA,12673P105,356028,7372,511210
7065,1,3,19870831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MARSH & MCLENNAN COS,MMC,571748102,62709,6411,524210
1913,1,3,19871231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVERY DENNISON CORP,AVY,53611109,8818,2670,322220
8304,1,3,19871231,20150830,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PALL CORP,PLL,696429307,75829,3569,333999
5680,1,3,19880331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HOME DEPOT INC,HD,437076102,354950,5211,444110
8245,1,3,19880430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PNC FINANCIAL SVCS GROUP INC,PNC,693475105,713676,6020,522110
3243,1,3,19880531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CITIGROUP INC,C,172967424,831001,6199,522110
10187,1,3,19880531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUNTRUST BANKS INC,STI,867914103,750556,6020,522110
7906,1,3,19881130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NIKE INC,NKE,654106103,320187,3021,316210
4213,1,3,19890131,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ECOLAB INC,ECL,278865100,31462,2842,325612
7875,1,3,19890430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEWELL BRANDS INC,NWL,651229106,814453,3990,3399
10614,1,3,19890430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TORCHMARK CORP,TMK,891027104,320335,6311,524113
12142,1,3,19890831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ORACLE CORP,ORCL,68389X105,1341439,7372,511210
9372,1,3,19891130,20170104,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ST JUDE MEDICAL INC,STJ,790849103,203077,3845,334510
1878,1,3,19891201,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AUTODESK INC,ADSK,52769106,769397,7370,519130
7017,1,3,19910501,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MARATHON OIL CORP,MRO,565849106,101778,1311,211111
23978,1,3,19910501,20140701,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNITED STATES STEEL CORP,X,912909108,1163302,3312,331110
10860,1,3,19910919,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMEREN CORP,AEE,23608102,1002910,4931,2211
1602,1,3,19920102,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMGEN INC,AMGN,31162100,318154,2836,325414
15708,1,3,19920207,20150322,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALLERGAN INC,AGN.2,18490102,850693,2834,325412
25124,1,3,19920701,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PRAXAIR INC,PX,74005P104,884905,2810,325120
6136,1,3,19921001,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTERPUBLIC GROUP OF COS,IPG,460690100,51644,7311,541810
29028,1,3,19931001,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COSTCO WHOLESALE CORP,COST,22160K105,909832,5399,452910
20779,1,3,19931201,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CISCO SYSTEMS INC,CSCO,17275R102,858877,3576,334210
29392,1,3,19940101,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EASTMAN CHEMICAL CO,EMN,277432100,915389,2821,325211
9783,1,3,19940301,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KEYCORP,KEY,493267108,91576,6020,522110
12726,1,3,19940301,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNUM GROUP,UNM,91529Y106,5513,6321,524114
12141,1,3,19940601,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MICROSOFT CORP,MSFT,594918104,789019,7372,511210
9882,1,3,19940701,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SOUTHWEST AIRLINES,LUV,844741108,92380,4512,481111
10903,1,3,19940701,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNITEDHEALTH GROUP INC,UNH,91324P102,731766,6324,524114
13714,3,3,19940901,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CBS CORP,CBS,124857202,813828,4888,515120
9699,1,3,19940901,20151118,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SIGMA-ALDRICH CORP,SIAL,826552101,90185,2833,325411
7343,1,3,19940927,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MICRON TECHNOLOGY INC,MU,595112103,723125,3674,334413
